n_samples,n_features,imbalance_ratio,class_separation,roc_auc,balanced_accuracy,precision,recall,f1_score,best_params
100,150,0.1,1.4,0.8611111111111112,0.5,0.8099999999999999,0.9,0.8526315789473683,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(5), 'classifier__min_child_weight': 1, 'classifier__max_depth': 4, 'classifier__learning_rate': np.float64(0.1), 'classifier__colsample_bytree': np.float64(0.7999999999999999)}"
100,150,0.2,0.8,0.6875,0.59375,0.7666666666666667,0.8,0.7725490196078432,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(3125), 'classifier__min_child_weight': 1, 'classifier__max_depth': 5, 'classifier__learning_rate': np.float64(1.0), 'classifier__colsample_bytree': np.float64(0.7)}"
100,150,0.2,1.0,0.90625,0.59375,0.7666666666666667,0.8,0.7725490196078432,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(625), 'classifier__min_child_weight': 1, 'classifier__max_depth': 8, 'classifier__learning_rate': np.float64(0.1), 'classifier__colsample_bytree': np.float64(0.5)}"
100,150,0.2,1.2,0.84375,0.5,0.64,0.8,0.711111111111111,"{'classifier__scale_pos_weight': 4, 'classifier__n_estimators': np.int64(3125), 'classifier__min_child_weight': 2, 'classifier__max_depth': 9, 'classifier__learning_rate': np.float64(0.03162277660168379), 'classifier__colsample_bytree': np.float64(0.7999999999999999)}"
100,150,0.2,1.4,0.796875,0.59375,0.7666666666666667,0.8,0.7725490196078432,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(625), 'classifier__min_child_weight': 2, 'classifier__max_depth': 8, 'classifier__learning_rate': np.float64(0.31622776601683794), 'classifier__colsample_bytree': np.float64(0.7999999999999999)}"
100,150,0.3,0.8,0.38095238095238093,0.39285714285714285,0.45294117647058824,0.55,0.4967741935483871,"{'classifier__scale_pos_weight': 1, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 4, 'classifier__max_depth': 4, 'classifier__learning_rate': np.float64(1.0), 'classifier__colsample_bytree': np.float64(0.7999999999999999)}"
100,150,0.3,1.0,0.6904761904761905,0.7142857142857143,0.79375,0.8,0.7866666666666666,"{'classifier__scale_pos_weight': 4, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 4, 'classifier__max_depth': 5, 'classifier__learning_rate': np.float64(1.0), 'classifier__colsample_bytree': np.float64(0.7)}"
100,150,0.3,1.2,0.6547619047619048,0.5238095238095238,0.6,0.6,0.6,"{'classifier__scale_pos_weight': 1, 'classifier__n_estimators': np.int64(5), 'classifier__min_child_weight': 4, 'classifier__max_depth': 6, 'classifier__learning_rate': np.float64(1.0), 'classifier__colsample_bytree': np.float64(0.7)}"
100,150,0.3,1.4,0.7261904761904763,0.7142857142857143,0.79375,0.8,0.7866666666666666,"{'classifier__scale_pos_weight': 1, 'classifier__n_estimators': np.int64(3125), 'classifier__min_child_weight': 3, 'classifier__max_depth': 6, 'classifier__learning_rate': np.float64(0.01), 'classifier__colsample_bytree': np.float64(0.5)}"
100,150,0.4,0.8,0.42708333333333337,0.5,0.36,0.6,0.45,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(25), 'classifier__min_child_weight': 1, 'classifier__max_depth': 9, 'classifier__learning_rate': np.float64(0.01), 'classifier__colsample_bytree': np.float64(0.6)}"
